english,transcription,russian,mnemonic_list
paring,['peərɪŋ],обрезание,"['Тому, кто врёт и ПАРИт Нужно подрезать язык.']"
prune,[pruːn],обрезать,['ПРОНыра обрезал цветы на клумбе']
doom,[duːm],обрекать,['поДУМать прежде чем обрекать']
band,[bænd],обруч,['Остап БЕНДер ищет антикварную ленту']
collapse,[kə'læps],обрушиться,['КОЛ с высоты обрушился на ЛАПы Собаки']
precipitous,[prɪ'sɪpɪtəs],обрывистый,"['У реки был крутой обрыв. Его решили подрывать. В соседней деревне:\n-ПРИСЫПЕТ, АСь?']"
sparge,[spɑːʤ],обрызгивать,['С ПАД АДЖики из банки обрызгивали.']
serve,[sɜːv],обслуживать,['хороший СЕРВис вы любите']
environment,"[ɪn'vaɪər(ə)nmənt,",обстановка,"['в окружении чащи, пеньков, корешков и нечистой силы ИзВАРЕН МЕНТ бабой ягой']"
accident,['æksɪd(ə)nt],обстоятельство,"['ЭКС-презИДЕНТу помешало выйти одно обстоятельство.', 'Во время игры в СЕКУ обстоятельства сложились так, что я ""остался без штанов"".', 'Обсоятельства слишком СЕКретны – расскажу тебе на МеСТЕ', 'мастер настроил телевизор на систему СЕКАМ, СТАНЦию выбирал по обстоятельствам']"
surround,[sə'raund],обступать,"['Болельщики окружили боксера, вСЕ, РАУНД закончен']"
consider,[kən'sɪdə],обсуждать,"['КЭН (друг Барби) СИДЭл дома и считал, рассматривал ну и конечно обсуждал своих Барбей)))', 'Когда в суде рассматривают очередного КАНдидата СИДЕть в тюрьме.Такое рассмотрение сокращенно можно назвать КАНСИД.', '""КОНЬ, СИДЕть, - приказал конюх, - сейчас будем обсуждать твое поведение с кобылкой на пастбище"".', 'Рассматривали на заседании проблему о пристрастии КОНей к СИДРу', 'Обсудать – значит ДИСКУССировать']"
agitation,[ˌæʤɪ'teɪʃ(ə)n],обсуждение,['АГИТАТоры с воплем обсуждали проекты']
shoe,[ʃuː],обувь,"['У него ШУмная обувь.', 'Туфли ШИЗофреника']"
drag,[dræg],обуза,['да ДРАКон в сарае - обуза - не прокормишь']
curb,[kɜːb],обуздать,"['Чтобы обуздать страх темноты , полезай в темный КОРОБ на всю ночь.']"
condition,[kən'dɪʃ(ə)n],обуславливать,['состояние воздуха обуславливается КОНДИЦИОНером']
teach,[tiːʧ],обучать,['пТИЧку не стоит обучать - бесполезно.']
nurture,['nɜːʧə],обучение,['обучение НЕЧЕтным числам']
snub,[snʌb],обхождение,['СНАБ жают НИИ плохо и вообще с НИИ пренебрежительное обхождение.']
broad,[brɔːd],обширный,"['широкий БРОД', 'мистер ИКС ТЯНет напрягаясь обширный невод с моря', 'С ПЕШками простор обширный', 'громадный ВАтный СТадион']"
communicate,[kə'mjuːnɪkeɪt],общаться,"['Общаться, значит КОММУНИцировать']"
dormitory,['dɔːmɪt(ə)rɪ],общежитие,['ДОМ ТуРИстов общежитие']
communion,[kə'mjuːnɪən],общение,['в КОММУНЕ ОН был в тесном общении']
common,['kɔmən],общий,"['От слова КОММУНа - общее.', 'общий КАрМАН', 'при КОММуНизме или в КОМмуНе все было общим', 'у КОММУНистов жены общие', 'обыкновенный КОММЕНтарий', 'КАМЕНь - это общий термин для твёрдых пород', 'сегодня у нас общая ГЕНЕРАЛьная уборка во всей квартире', 'МЕСто для общего питания']"
jovial,['ʤəuvɪəl],общительный,['Bon JOVI ALL(все)-ко всем веселый и общительный.']
combine,[kəm'baɪn],объединение,['КОМБАЙН объединяет в себе косилку и молотилку']
combine,[kəm'baɪn],объединять,['КОМБАЙН объединяет в себе косилку и молотилку']
band,[bænd],объединяться,"['отряд БАНДитов', 'кухонный КОМБАЙН объединяет в себе много устройств']"
diversion,[daɪ'vɜːʃ(ə)n],объезд,"['представьте, что на дороге совершена ДИВЕРСия, все взорвали и разрушили и теперь вы должны ехать по объездной дороге, прочувствуйте всю досаду, чувства к диверсантам испытайте']"
lens,[lenz],объектив,['какие хорошие ЛИНЗы у тебя в объективе']
ad,[æd],объявление,"['АДу реклама не нужна :-)', 'В рекламе АДмирал дерется с ВЕТИренаром и МЕНТом', 'Доставлять объявление или сообщение каждому НА НОС (аноунс)', 'запрещать БЕНефис']"
announce,[ə'naun(t)s],объявлять,"['От слова АНОНС, т.е. объявление.', 'НАДЕВАЙ костюм глашатая и объявляй волю короля.', 'НОТЫ ФАльцетом объявлять']"
account,[ə'kaunt],объяснять,"['Этот КОнсУльтаНТ считает и объясняет все по своему', 'Мистер ИКС объяснял причины попадания в ПЛЕЙН (плен). Итак - ИКСПЛЕЙН.', 'ЭКСкурсовод ПЛАН войны объяснял', ""'ИКС ПоЛинЕЙНо возрастает' - объяснял учитель."", 'объясните про ИХ СПЛЕН', 'Обясняю правила по ЭКСПЛуатации микроволновой печи', 'объясните мне ИХ ПЛАН', 'объяснять ИНТЕРесную ПРИТчу']"
hug,[hʌg],объятие,['ХАГрид любит обниматься (персонаж фильма или книги Гарри Поттер)']
square,[skweə],обыватель,['обыватель сидел в СКВЕРЕ']
common,['kɔmən],обыкновенный,"['КАМень ОН обыкновенный, а не золото.', 'обыкновенный КОММЕНтарий', 'Обычный – значит ОрДИНАРный']"
frisk,[frɪsk],обыск,['При обыске преступник имеет РИСК попастся с поличным']
frisk,[frɪsk],обыскивать,['При обыске преступник имеет РИСК попастся с поличным']
custom,['kʌstəm],обычай,"['Индийские обычаи не разрешают европейские КАСТОМы (костюмы), а таможня не пропускает.']"
ordinary,['ɔːd(ə)n(ə)rɪ],обычный,"['Обычный – значит ОрДИНАРный', 'Обычно он ЮЖЖАЛ (уезжал) туда.']"
duty,['djuːtɪ],обязанность,"['в ДЬЮТИ-фри обязаны давать чек', 'кормить ДЕТЕЙ обязанность родителей', 'МАСТив должен охранять хозяина, это его обязанность']"
bound,[baund],обязанный,['БАНДита связали']
bound,[baund],обязательный,"['БАНДа обязательно его зарежет', 'КОМпания ПОЛотеров в обязательном порядке отрабатывала зачет', 'У нас МАНДАТ От РЕволюционного правительства, вы обязаны сдать оружие.']"
commitment,[kə'mɪtmənt],обязательство,['КОМИТет МЕНТов принял повышенные обязательства']
oblige,[ə'blaɪʤ],обязать,['Наличие ЭБЛАЙДЖности (облачности) обязывает летчиков быть бдительными.']
oblige,[ə'blaɪʤ],обязывать,['ОБЛОЖили налогами и заставили платить']
oval,['əuv(ə)l],овальный,['Овальная форма у ОВАЛАа']
acquire,[ə'kwaɪə],овладевать,['приобретать АКВАРиум']
obsess,[əb'ses],овладеть,"['паук сначала овладел мухой а потом ОБСАСывать стал', 'ОБСОС завладел умами принцесс', 'ЭБСЕС это как абсцесс, когда болезнь овладела и мучает все тело']"
breeze,[briːz],овод,['оводы бились в БРЕЗент']
vegetable,['veʤ(ə)təbl],овощ,['Овощами только питается ВЕГЕтарианец и сидит на ТАБЛетках']
vegetables,овощи,овощи,['ВЕДЬ ЖИвы ТАБЛЕтки для огорода для овощей']
coomb,[kuːm],овраг,['КУМ лежит в овраге пьяный']
porridge,['pɔrɪʤ],овсянка,['в тарелке что-то ПОРИстое и ДроЖит – это каша']
ewe,[juː],овца,"['Южная овца', 'Овцы лбят ШИПать траву на лугах.', 'ШИП воткнулся овце в ногу-она хромает', 'Овца в ШИПовнике', 'Что за звук ШИП ШИП ШИП.Это овца травку ШИПлит.', 'ШИПит овца словно змея.', 'ШИПЫ лопуха облепили овечку.\nОт страха её застучало сердечко.\nНо мимо на счастье баран проходил,\nИ этот лопух на обед проглотил.']"
sheep-dog,['ʃiːpdɔg],овчарка,"['ШИ:П ДОГ - собака, стерегущая овец - овчарка.']"
cot,[kɔt],овчарня,['КОТ в овчарне погрыз всех собак']
igneous,['ɪgnɪəs],огненный,"['ОГНИ ОСыпают Миссисипи. Миссисипи в огне, огненный.']"
bare,[beə],оголять,['голые - БЕз одежды БЕзобРазничают']
balefire,['beɪlˌfaɪə],огонь,"['fire-огонь\nБЭрис ЕЛьцин выбежал в ФОЙЕ вслед за этим пустили сигнальный огонь.', 'ФАкЕл - Это тот же огонь.', 'огонь в ФОЙЕ театра', 'С МОЛОДА мы любили смотреть на тлеющий огонь,особенно когда смола дерева тлеет.']"
enclose,"[ɪn'kləuz,",огораживать,['ИНна КЛЕУЗами (кляузами) окружала соседей']
kitchen,garden,огород,"['КИТ ТЩЕтНо пытался залезть на свой огород', 'КИТ ЧИН ГАДиНа в огороде получил']"
afflict,[ə'flɪkt],огорчать,"['-Дай скидку, не огорчай меня.\n-А фиг те.\nНачался кОнФЛИКТ.', 'ЭФиопский ЛИКёр огорчил меня - он причиняет боль в животе, тревожит меня']"
concern,[kən'sɜːn],огорчение,"['КОНЦЕРта Не будет, дело в том, что свет пропал. Беспокоиться и огорчаться не о чем. В отношении организаторов концерта, возбуждено уголовное дело.']"
devastate,['devəsteɪt],огорчить,['ДЕВА СТрАшно рассТраивается из-за разорения её культуры']
pale,[peɪl],ограда,['встал на ПОЛено а за оградой ПЕЛа смуглянка']
protect,[prə'tekt],ограждать,['оказать ПРОТЕКЦИЮ родственнику и оградить его от дальнейших проблем']
abridge,[ə'brɪʤ],ограничивать,"['ОПРИЧнина сокращала доходы бояр.', 'ОБРЕЧенно сокращать армию', 'джеймса БОНДа – связали на границе', 'Ограничте дачу леКарств больному, ОН ФАЙН.', 'Чтобы ребенок никуда не убегал, его сажают на пол, вокруг высыпают КОНФЕТИ и ограничивают этим кругом его пространство.']"
enormous,[ɪ'nɔːməs],огромный,"['громадные ЕНОты МОрСкие захватывают город', 'Огромный ИНженер пьет клюквенный МОрС', 'ГРЕЕТ огромное солнце', 'Дориан ГРЕЙ Тоже был огромным фанатом своей же красоты.', 'великий, а не ГРЕЕТ', 'ХУДой Вова начал часто Жевать конфеты и стал огромным', 'огромный МЕНСтруальный цикл', 'ИМЕНем огромного Себя хочу показать своё громадное эго', 'не СМЕШное зрелище, когда все разрушено и уничтожено', 'урожайность ТЕРРИтории ФИКсирует потрясающий уровень']"
cucumber,['kjuːkʌmbə],огурец,"['Патрис КУКУМБА (Лулумба) был посажен на чей-то огурец', 'Огурцы стережет КУКУшка в АМБарЕ']"
put,on,одевать,['что ПУТевого ОН может одеть']
dress,[dres],одеваться,['ДРЕСсировщица в красивом платье']
casual,wear,одежда,"['КОЖА АЛюминевая, повседневная одежда', 'У Майкла Джексона КЛОФСная (классная) одежда.', 'КЛОУн, ЗИН, одет в смешную одежду', 'ДРЭСсируем платье и оно станет одеждой', 'ДРЕСсировщица в красивом платье', 'кто занимается ФИТнесом, на том хорошо сидит одежда']"
win,[wɪn],одержать,['сВИНья победила и выиграла ВИНтовку']
win,[wɪn],одерживать,['пингВИН одержал победу в викторине.']
clad,[kləd],одетый,"['одетый в наряд из КЛАДовки', 'ВЕЛи ДРЕСерованного хорошо одетого тигра']"
blanket,['blæŋkɪt],одеяло,"['БЛАНК КИТ использовал вместо одеяла.', 'на БЛАНКе - КИТ под одеялом', 'БЛАНКИ Телеграм валялись на одеяле', 'укрываюсь БЛАНКами так как нЕТ одеяла', 'гости завернутые в одеяла пришли на БАНКЕТ', 'документы и БЛАНКИ Ты на одеяло покажи', 'ЭКВИЛибрисТ имел привычку ночью укрываться стеганным одеялом.']"
habiliments,[hə'bɪlɪmənt],одеяние,['Все одеяние вымазали в чеХОХБИЛИ и МАЦони.']
a,[eɪ],один,"['А Я - один', 'ЭЙ это я, да, один', 'Ален ДЭЛОН совсем не одинок.', 'АЛАН чумак один вылечил всю страну', 'Алан Делон на ЛОНе природы совсем один', 'Или он АЗЕРбайжданец или армянин', 'НИ ЗА тот, НИ ЗА другой вариант никто голосовать не будет', 'у хорошей НЯНьки – никто не шалит', 'Жан-Клод ВАН Дамм - один из лучших актёров и кикбоксёров.', 'один ВАНдал осквернил весь квартал.', 'один в ВАНне']"
equal,['iːkwəl],одинаковый,"['ИКАЛ одинаково со всеми', 'в Литве теперь тот же самый СЕЙМ, что был в прошлом']"
alone,[ə'ləun],одинокий,"['АЛАН чумак один вылечил всю страну', 'АЛО(УН), ты один дома?', 'одинокий кЛОУН ЛИмон ест', 'ЛОНо, одинокая ЛУна', 'Одинокие люди есть в ЛОНдоне и в ЛИверпуле']"
solitary,['sɔlɪt(ə)rɪ],одиночный,"['Представьте одиночную камеру, а в ней СОЛЬ И ТАРУ.']"
once,[wʌn(t)s],однажды,"['Однажды он получил АВАНС.', 'аВАНС на этой фирме мне уже заплатили однажды и я перестал работать, теперь больше не дадут аВАНС']"
simultaneous,[ˌsɪm(ə)l'teɪnɪəs],одновременный,"['СИМУЛировали одновременный старт', 'Одновременно СИМУЛянТ слизывает ОСтатки еды и разговаривает']"
single,room,одноместный,['В одноместный номер СтИНГа и РУМына не поселят']
curt,[kɜːt],односложный,"['Если человек КУРИТ, его дыхалка коротка.']"
acceptance,[ək'septən(t)s],одобрение,"['Принятие родов АКушер осуществял в ТАНкЕ', 'последний АККОРД вызвал одобрение учителя', 'А ПРАВда одобряется']"
approve,[ə'pruːv],одобрять,"['Я одобряю выбранную тобой ОПРАВу для очков.', 'Одобрено было решение, так что нет смысла АПРОВЕргать его']"
do,a,одолжение,"['Он сделал мне одолжение, когда смастерил ДУдку для моего ФАВОРита']"
pant,[pænt],одышка,"['та женщина в ПАНТалонах страдает одышкой', 'в ПЕНТаграме тяжело дышал демон', 'хрип Бабы-Яги В ИЗбе']"
collar,['kɔlə],ожерелье,['КОЛАми прибили за воротник']
sear,[sɪə],ожесточать,"['СИгАретой украинца нечаянно прижгли, он ожесточился.']"
expect,"[ɪk'spekt,",ожидать,"['И К СПЕКТаклю ожидают президента.', 'ИнСПЕКТор ожидал в кустах', 'Ожидаю ответа ЭКСПЕрТизы']"
obesity,[ə(u)'biːsɪtɪ],ожирение,['клОУн БИСквИТ Испек для ожирения']
burn,[bɜːn],ожог,"['БЕНгальский огонь горит', 'Ожог оБЕРНулся пересадкой кожи', 'Не дотрагивайся до СКОвороДы, получишь ожег.', 'Шумахер ездил с бешенной скоростью, врезался, СКОрЧился и получил ожог.', 'СКАЧи по углям от ожега', 'СИНДЖо (Санчо) лечил ожоги Дон-Кихота.']"
buffalo,['bʌfələu],озадачивать,"['вратарь клуба Ювентус БУФФОн озадачиЛ всех, когда пОдделал диплом средней школы чтобы поступить на юридический факультет Пармского университета.']"
lake,[leɪk],озеро,"['ЛЕЙ, дождиК, сильней как из ЛЕЙКи наполняй озеро, будем купаться. Представьте как вы бегаете под летним дождем и кричите эти слова', 'на ЛЕЙ Ка воды в ЛЕЙКу из озера', 'ЛЕЙКой озеро наЛЕЙ Ка', 'Озеро большое его не выЛАКаешь', 'ЛАЙКи живут около озера', 'В МИРе нет простых озёр']"
mean,[miːn],означать,['МИНус означает холод']
chill,[ʧɪl],озноб,"['я из ЧИЛи, в сибири холод и я чувствую озноб, а мои ноги неприятно холодные']"
naughty,['nɔːtɪ],озорной,['НОТЫ трясет непослушный ребенок']
affect,['æfekt],оказывать,"['Он повлиял на ситуацию ЭФФЕКТивно', 'велиКАН на ФРОНТе противостоял, оказывал сопротивление маленьким лилипутам', 'прилагать силы чтобы достать ЭКЗОТический фрукт', 'пеРЕЛИВ крови это оказание помощи']"
ocean,['əuʃ(ə)n],океан,"['ОУШАНка (ушанка) матроса упала в океан.', '13 друзей ОУШЕНа плавали в океане на плоту']"
pay,[peɪ],оклад,['ПЕЙ на всю зарплату']
hail,[heɪl],окликать,['окликать ХОЛеную ХЕЛену']
window,['wɪndəu],окно,"['Из окна торчит УВИНДОУвка (винтовка).', 'В окно выпрыгнул ВИНДсерфер', 'В окно выпрыгнул ВИНДсерфер']"
bond,[bɔnd],оковы,['на Джеймса БОНДа надели оковы']
conclusion,[kən'kluːʒ(ə)n],окончание,['КОНЬ КЛЮшкой забил шайбу в окончании матча']
numb,[nʌm],окоченелый,['В паНАМе невозможно окоченеть.']
numb,[nʌm],окоченеть,['труп НАМертво окоченел']
skirt,[skɜːt],окраина,"['На окраинах своих деревень шотландские пастухи в юбках пасут СКОТ с давних пор. Этот клетчатый плед у них называется ""пастушеский тартан"".', 'На окраине САБлями мЁБель крушили']"
blue,[bluː],окрашивать,['голубая БЛУза']
call,[kɔːl],окрик,['КОЛокол зовет людей']
band,[bænd],окружать,"['Остап БЕНДер ищет антикварную ленту', 'ОН СЕК Лизу, окружив ее заботой и пониманием', 'ИНна КЛЕУЗами (кляузами) окружала соседей', 'Болельщики окружили боксера, вСЕ, РАУНД закончен', 'СЫРом окружил себя Рокки из мультика Чип и Дейл']"
ambient,['æmbɪənt],окружающий,['РЭМБИ АНТи окружающих со всех сторон воевал.']
environment,"[ɪn'vaɪər(ə)nmənt,",окружение,"['в окружении чащи, пеньков, корешков и нечистой силы ИзВАРЕН МЕНТ бабой ягой', 'ИзВАРЕН МЕНТ бабой ягой в окружении чащи, пеньков, корешков и нечистой силы', 'водители машИН городских коммунальных служб и трамВАев устроили забастовку, поэтому было решено пЕРЕНести заседание парлаМЕНТа по вопросу охраны окружающейсреды\\ на следующий день']"
mob,[mɔb],окружить,['окружили МОБильной толпой']
circle,['sɜːkl],окружность,['ЦИКЛоп с круглым глазом']
october,[ɔk'təubə],октябрь,"[""ОКТО'УБЭ и октябрь.""]"
dip,[dɪp],окунаться,['ДИПломат с деньгами погружался']
bass,[bæs],окунь,"['в окуня вселился БЕС', 'окунь БЕСится на крючке']"
pall,[pɔːl],окутывать,['мантия до ПОЛа']
reindeer,['reɪndɪə],олень,['Северный олень РЕдкое ИНостранное ДОРогое животное']
tin,[tɪn],олово,['оловянная ложка покрытая морской ТИНой']
tin,[tɪn],оловянный,['оловянная ложка покрытая морской ТИНой']
lobster,['lɔbstə],омар,['морской рак ЛОБ СТЕр о берег']
disgust,[dɪs'gʌst],омерзение,['Питать отвращение к людям не соблюдающим ДИСтанцию в ГАСТрономе']
repulsive,[rɪ'pʌlsɪv],омерзительный,['тРЕПАЛ СОВетский флаг омерзительный гитлер']
torpor,['tɔːpə],онемелость,['вяло ТОПАет малыш']
numb,[nʌm],онемелый,"['Во время КВН вышел армянин:\n-Кому 100 баксов?\nЗал онемелый, оцепенелый. Вдруг все:\n-НАМ, нам!']"
be,late,опаздывать,"['Я опоздал на БИржу, так как пил ЛАнТте']"
scorch,[skɔːʧ],опалять,['СКАЧи по углям от ожега']
danger,['deɪnʤə],опасность,"['Компьютерная игра ДЭНДИ представляет опасность для здоровья.', 'ДЕЙН (день) ДЖЕймс Бонда наполнен опасностями', 'больше семи ДнЕЙ Не надо ДЖЕм хранить в тепле, иначе есть его опасно', 'Газ АЗОТ опасен, не стоит рисковать.', 'МЕНЕ Собака угрожает', 'плохой МЕНЕСтрель угрожает спеть песню']"
dangerous,['deɪnʤ(ə)rəs],опасный,"['Опасная ситуация случиоасть со мней в ДАНии, за мной гнался ГЕРакл и я ИСпугался', 'см. danger - опасность', 'Лестница без ПЕРИЛ - опАСная.', 'С ПЕРИЛ ОСторожно съезжай. Опасное занятие - кататься на перилах.']"
custody,['kʌstədɪ],опека,['Возьму под опеку КАСТУ ДИнозавров']
ward,[wɔːd],опекать,['ВОДа священно охранялась']
guardian,['gɑːdɪən],опекун,['Опекун этого малыша - настоящая ГАДИНа.']
conservatorship,опекунство,опекунство,['КОНСЕРВАТОР ШИПит потому что не может взять опекунство везде']
surgery,['sɜːʤ(ə)rɪ],операция,"['МедСЁстры РЖЕРИ (ржали, смеялись) с пациентки по поводу операции по увеличению груди до 7 размера']"
misprint,['mɪsprɪnt],опечатка,['МИСС ПРЕкрасно делает опечатки']
describe,[dɪ'skraɪb],описывать,['Японцы изобрели краба с дизельным двигателем ДИЗКРАБа. Я описываю его утройство.']
mourn,[mɔːn],оплакивать,['МОНахи носят траур и оплакивают погибших']
error,['erə],оплошность,['Ошибку допустил ЭРАст Фандорин']
empty,['emptɪ],опорожнять,['ЕМ ПТИцу на пустой желудок']
opponent,[ə'pəunənt],оппонент,['Противник иными словами ОППОНЕНТ']
rim,[rɪm],оправа,['оправа для очков делалась в РИМе']
justify,['ʤʌstɪfaɪ],оправдание,['оправдывались что боролись за СЧАСТЬЕ ФАшисты']
absolve,[əb'zɔlv],оправдывать,"['я его оправдываю а он ОБЗЫВается', 'А КВИТанцию тоже надо оправдывать в бухгалтерии, или так сойдет']"
definition,[ˌdefɪ'nɪʃ(ə)n],определение,"['бежит бегун уже неделю, устал жутко, а финиша все нет и он просит: Дайте определение - гДЕ ФИНИШ?']"
assign,[ə'saɪn],определять,"['А САНя назначен президентом', 'ДИкие ФАНаты давали характеристику кумира']"
capsize,[kæp'saɪz],опрокидываться,"['Когда мы плыли на теплоходе, КЕПка, ЗАраЗа, опрокинулась в воду.']"
poll,[pəul],опрос,"['для опросов женский ПОЛ лучше подойдет - так как они сексуальнее выглядят и голос мягче', 'на опросе был ПОЛный лист вопросов', 'К ВИЗитерам на опрос']"
natty,['nætɪ],опрятный,"['аккуратные НИТИ у паука', 'Аккуратный человек даже НИТочки с пола собирает']"
wholesaler,['həulˌseɪlə],оптовик,['Оптовик ХОтеЛ СЕЛедку оптом купить']
lower,['ləuə],опускать,"['ЛАВА из сустава - опускалась с права', 'ЛАВЭ (деньги) опускается ко мне в карман', 'опускать руку в реку, чтобы наЛОВить пИРаний', 'Опустил руку в ЛОВушку и поцарапал его']"
sink,[sɪŋk],опускаться,['опускать СИНьКу на лысинку']
devastate,['devəsteɪt],опустошать,['ДЕВА СТрАшно рассТраивается из-за разорения её культуры']
experience,"[ɪk'spɪərɪən(t)s,",опыт,"['От слова ЭКСПЕРИМЕНТ - опыт.', 'Опыт в работе имеют ЭКСПЕРты НеСомненно']"
experienced,"[ɪk'spɪərɪən(t)st,",опытный,['ИХ ПИРИНЫ СДеланы опытными руками']
again,"[ə'gen,",опять,['АГЕНт опять скрылся']
caboodle,[kə'buːdl],орава,"['Пришли всей оравой (всей компанией), КАБУДто Ленинградская область вся.']"
bawl,[bɔːl],орать,['орать с БАЛкона']
arrange,[ə'reɪnʤ],организовать,"['Они организовали, устроили ОРАНЖевую революцию']"
nut,[nʌt],орех,"['В шоколаде НАТс много орехов.', 'НАТрясти орехов', 'орех – НАТуральный продукт', 'Орехи содержатся в НАТсе', 'ПИНАТь земляной орех']"
orient,['ɔːrɪənt],ориентироваться,['ОРИЕНТация России в 21-ом веке будет на Восток.']
band,[bænd],оркестр,['отряд БАНДитов']
irrigate,['ɪrɪgeɪt],орошать,['И РИГА жара орошать нам пора']
gun,[gʌn],орудие,"['ГАНстеры достали пушки и устроили наГАНяй', 'хулиганов задержали ИМ ПЛЕМя МЕНТовское выдало орудия инструменты и лопаты']"
wield,[wiːld],орудовать,['ВИЛами любой Дурак орудует превосходно']
arm,[ɑːm],оружие,"['АМериканцы опять вооружаются', 'АМериканское оружие', 'в АРМии оружие из рук не выпускают', 'АМериканцы берут в руки оружие', 'АРМяне С собой взяли оружие', 'ГАНстер разбирает оружие', 'ГАНстеры достали пушки и устроили наГАНяй', 'ГАНгстер стреляет из оружия', 'ВЕЯЛо с моря йодом и отдыхающие склонили головы и опустили глаза от наслаждения.', 'Не ВЫПЕНдривайся со своим оружием.']"
eagle,['iːgl],орёл,['у орла когти и клюв острые как ИГЛы']
wasp,[wɔsp],оса,['Укус осы вызвал ВОСПоление кожи.']
informant,[ɪn'fɔːmənt],осведомитель,"['""срочно передайте эту ИНФОрМАцию в эфир"", - сказали корреспондеНТу']"
fan,[fæn],освежать,['в ФЕНе работает вентилятор']
lighten,['laɪt(ə)n],освещать,['ЛАЙ Ты На всех это приносит облегчение']
free,a,освободить,['Освободил место для парковки человек с картошкой ФРИ в СИТроене']
absolve,[əb'zɔlv],освобождать,"['рАБ ЗОЛ - Ведь его не освободили и не отпустили', 'Западная коалиция - ""освободители"" ЛИВИИ в кавычках! Достали уже.', 'ДЕЛИВЕРИ клаб это фирма по доставке еды', 'ЛИБО РАТь освобождать ЛИБО смеРТь', 'РЫжий ЛИС освободил всех зайцев', 'РИЛИЗ программы избавит нас от ошибок', 'Освободили его досрочно, поэтому ему удалось еще РЕАЛИЗоваться в жизни', 'РЕЛЬЕФ мышц не облегчал нагрузок', 'Р ИЛИ Н ? К, В И Ш - освободи свою фантазию, оставь за рамками стереотипное мышление, выпусти любую букву !', 'Чтобы освободить территорию, можно избавиться от прочитанных (READ) книг']"
liberation,[ˌlɪb(ə)'reɪʃ(ə)n],освобождение,"['ЛИБЕРАлы ШИПят во всем мире и выступают за раскрепощение людей и освобождение от традиций', 'РЕзвых ЛИС выпустили на свободу', 'РИпей сЛИЗнули, какое облегчение']"
exploration,"[ˌeksplə'reɪʃ(ə)n,",освоение,"['""по рЕКе СПЛАв завершайте скоРЕЙ, пока есть ШаНс успеть до непогоды"", - передали по радио смельчакам, осваивающим горные массивы']"
bless,[bles],освящать,['благословлять БЛЕСтящую пару']
sag,[sæg],оседание,['Михал СЭГеевич сделал прогиб.']
autumn,['ɔːtəm],осенний,['осенью пОТЕМнела листва']
autumn,['ɔːtəm],осень,"['Осенью он очень ОТЭМлен (утомлен).', 'осенью пОТЕМнела листва', 'O ТОМ осенью не говорят...', 'осенью во вечерам Очень ТЕМно', 'Этой осенью ОТТЕпель', 'осенью пО вечерам Очень ТЕМно', 'А У ТОМы на фото осень']"
miss,[mɪs],осечка,"['Помни, - если МИС промах когда пис, пис, то будет лужа вокруг унитаза']"
grin,[grɪn],оскал,['усмешка ГРИНча']
violation,[ˌvaɪə'leɪʃ(ə)n],осквернение,['ВОЕнные ЛЕШЕго задержали при нарушении границы']
shatter,['ʃætə],осколок,"['На ШЕе ТЕРрориста осколок разрушенного здания.', 'Осколок льда попал за ШИВОрот.', 'Мужик обтесывал драгоценный камень, а другой ходил и С ПОЛа осколки поднимал.', 'С ПОЛена обрубать осколки', 'С ПЛИНТуса занозу подцепил']"
outrageous,[ˌaut'reɪʤəs],оскорбительный,['А У ТРАвы ЖУЕт Стебель возмутительный бык']
humiliate,[hjuː'mɪlɪeɪt],оскорбить,"['ХЬЮ (грант) всенда такой МИЛЫЙ, Тут пришел и оскорбил меня']"
abuse,[ə'bjuːs],оскорбление,"['ОБУЗой для друзей чтобы не стать, старайся никого не оскорблять', 'Этот ФРАНТ оскорблен', 'Грубиян оскорбил старого человека, и нананесённая обида привела пенсионера к ИНСУЛьТу.', 'ЭФЭНСий (Афанасий) Никитин обидел и оскорбил индейцев русским матом.', 'обида на ОФИЦера был ну как настоящий полковник', 'Он ФЕНом нанёС удар, тем самым напав на неё и нарушил её права. Она обиделась так как он не извинился']"
abuse,[ə'bjuːs],оскорблять,"['ОБУЗой для друзей чтобы не стать, старайся никого не оскорблять', 'Ты, Гена, приехал ко мне в гости на 3 дня, а живешь уже месяц. Ты злоупотребляешь моим гостеприимством, ты - ОБУЗА для меня и моей семьи.', 'ты, гена, приехал ко мне в гости на 3 дня, а живешь уже месяц. Ты злоупотребляешь моим гостеприимством, ты ОБУЗа для меня и моей семьи.', 'О, БОЮСь, вы будете ругаться', 'муж АБЬЮЗер это всегда ОБУЗА для жены, так как он часто её оскорбляет и злоупотребляет хорошим отношением к нему', 'Этот ФРАНТ оскорблен', 'оскорбили до ИНСУЛьТа', 'оскорблять ОФицЕра Не Дам !']"
wilt,[wɪlt],ослабевать,"['ВИЛку Ткнули в горшок - от этого растение ослабло, завяло и погибло']"
labefaction,[ˌlæbɪ'fækʃ(ə)n],ослабление,"['СЛАБО В ЭКШЕНе, т.е. идет ослабление.']"
bate,[beɪt],ослаблять,"['БАТя спросил ослабляя ремень сынок ну скажи мне как прошел день', 'РИМ И Турин отпускают грехи']"
dazzle,['dæzl],ослепительный,"['ДА, ЗаЛили Нью-Йорк ослепительным блеском.']"
dazzle,['dæzl],ослеплять,['ДЕЦЛ ослепил меня своим великолепием']
complication,[ˌkɔmplɪ'keɪʃ(ə)n],осложнение,['КОМ ПаЛьнули в воздух вызвав осложненье']
